Paper Number,Word Count,Summarization Time (sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
paper1,385,48.99,0.364141765114663,0.12386917188587335,0.1862404447533009,0.02564850024136926,0.849410891532898
paper2,324,41.68,0.4412296564195299,0.1684782608695652,0.22603978300180833,0.026575583308671068,0.8626771569252014
paper3,339,45.87,0.3943908851884312,0.10886742756804216,0.18755477651183172,0.023391118907087914,0.8381786346435547
paper4,348,44.95,0.40072202166064985,0.16817359855334538,0.2220216606498195,0.04247187035345083,0.8495671153068542
paper5,232,34.13,0.3405456255879586,0.12064090480678605,0.16556914393226718,0.008706091496920384,0.837298572063446
paper6,350,46.15,0.3835403726708075,0.1290824261275272,0.17546583850931677,0.021394517254794014,0.8419684767723083
paper7,300,43.3,0.3778337531486146,0.13961312026913372,0.17632241813602015,0.01698271054509939,0.8609176278114319
paper8,319,38.9,0.4282115869017633,0.21530698065601347,0.23173803526448367,0.05009964760059557,0.8674298524856567
paper9,349,45.89,0.286144578313253,0.06636500754147813,0.15813253012048192,0.01022796054921671,0.80465167760849
paper10,319,45.09,0.38523274478330655,0.12057877813504823,0.1781701444622793,0.01753868284399101,0.8447741866111755
paper11,514,57.76,0.5823170731707318,0.24122137404580152,0.27134146341463417,0.11794610859996907,0.8755630850791931
paper12,316,43.08,0.31666666666666665,0.10318664643399089,0.15606060606060607,0.00878389683875767,0.8398666381835938
paper13,471,63.1,0.45739910313901344,0.1885824246311738,0.21268417680973736,0.030484932836446994,0.849818766117096
paper14,367,48.97,0.4135936370209689,0.1882693700217234,0.22704266088214028,0.032516423623068016,0.8693649768829346
paper15,355,43.96,0.4776902887139107,0.19281332164767745,0.23622047244094485,0.047488815939400804,0.8635656237602234
