Paper Number,Word Count,Summarization Time (sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
paper1,389,48.52,0.3731859018659295,0.1134948096885813,0.18521078092605392,0.01891887098113176,0.8503910303115845
paper2,303,41.58,0.423963133640553,0.16805170821791324,0.2248847926267281,0.02173372677459024,0.8639532923698425
paper3,376,50.57,0.4027187765505522,0.10553191489361702,0.18351741716227699,0.022948937774337402,0.8371681571006775
paper4,318,46.09,0.37614678899082576,0.15441176470588236,0.2036697247706422,0.025236669531952593,0.8493154048919678
paper5,338,43.78,0.38687392055267705,0.11937716262975778,0.18825561312607944,0.016597763965921525,0.8375171422958374
paper6,412,52.03,0.404692082111437,0.1013215859030837,0.16422287390029325,0.011390438238903898,0.8327741622924805
paper7,299,41.3,0.3854606931530008,0.15580016934801016,0.18427726120033813,0.014006833410558406,0.860893964767456
paper8,412,52.39,0.4208885424785659,0.16237314597970334,0.22291504286827746,0.04743597783420176,0.8462269902229309
paper9,337,44.44,0.36033308099924305,0.15011372251705837,0.23315669947009843,0.04046748968325277,0.8289278149604797
paper10,474,57.9,0.4867573371510379,0.1978494623655914,0.20186113099498926,0.0712261859083581,0.84590083360672
paper11,452,54.51,0.5606425702811245,0.2333065164923572,0.2618473895582329,0.08533038349304418,0.8656676411628723
paper12,300,39.51,0.31821675634127594,0.09699769053117784,0.1445042275172944,0.0071347672569008124,0.8317464590072632
paper13,375,47.85,0.4282772820864791,0.1965635738831615,0.2237474262182567,0.028863772917753206,0.8642217516899109
paper14,341,45.56,0.3967551622418879,0.1462333825701625,0.21533923303834807,0.01598666389048775,0.8675901293754578
paper15,370,48.46,0.4656357388316151,0.17211703958691912,0.23195876288659792,0.06234027280939947,0.8644423484802246
