Paper Number,Word Count,Summarization Time (sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
paper1,418,116.78,0.37423728813559326,0.10862186014935506,0.17627118644067796,0.01579556113425519,0.8418456315994263
paper2,348,101.64,0.39928698752228164,0.13392857142857142,0.1978609625668449,0.0265297371054113,0.8388281464576721
paper3,422,129.28,0.37962202136400985,0.09547325102880659,0.17584223500410848,0.021647765288550298,0.8336113691329956
paper4,285,85.81,0.3776091081593928,0.15589353612167298,0.2201138519924099,0.03177301981246322,0.853805661201477
paper5,309,92.81,0.4295652173913044,0.18466898954703834,0.22608695652173916,0.0459007756456174,0.8456130027770996
paper6,332,99.47,0.37136113296616835,0.11347517730496454,0.17309205350118015,0.013590877462424432,0.8449768424034119
paper7,236,75.13,0.3371783496007098,0.14755555555555558,0.1792369121561668,0.009904624750817732,0.8539848327636719
paper8,341,102.48,0.40165289256198344,0.15066225165562913,0.21652892561983472,0.028018136611647235,0.8584645986557007
paper9,423,124.0,0.4475920679886686,0.19148936170212766,0.23796033994334273,0.046158458897129384,0.8270828723907471
paper10,528,176.55,0.40490797546012275,0.12286689419795223,0.16087252897068852,0.029434717764936547,0.8104119300842285
paper11,395,109.51,0.5306465155331654,0.26745164003364175,0.2804366078925273,0.09813310865012638,0.8656827211380005
paper12,368,107.83,0.3511338697878566,0.1084249084249084,0.16678858814923192,0.0207318562272646,0.8371984958648682
paper13,404,122.48,0.4569138276553107,0.20066889632107024,0.23380093520374082,0.03141405225324424,0.8622414469718933
paper14,275,88.39,0.3677269200930955,0.16472416472416473,0.18929402637703646,0.008159121496453425,0.87135249376297
paper15,467,123.77,0.5003958828186857,0.15860428231562254,0.21694378463974667,0.0625043867172694,0.856531023979187
