Paper Number,Word Count,Summarization Time (sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
paper1,482,142.44,0.3940375891121192,0.10772225827384814,0.17368762151652625,0.02146347371093308,0.8336809873580933
paper2,335,105.96,0.43101893597835894,0.15898825654923215,0.20018034265103696,0.029175842108310045,0.8569956421852112
paper3,314,97.62,0.36775362318840576,0.0998185117967332,0.16304347826086957,0.009230208985190773,0.8417827486991882
paper4,281,77.87,0.3885167464114832,0.1514860977948226,0.21626794258373205,0.022252958770459557,0.8641184568405151
paper5,344,90.54,0.3856655290102389,0.11965811965811965,0.19624573378839588,0.02382913698107033,0.8379011154174805
paper6,319,94.4,0.35742652899126287,0.10342084327764518,0.16044479745830023,0.014636955995205606,0.8426931500434875
paper7,328,102.79,0.3841714756801319,0.15028901734104044,0.19455894476504532,0.01794031530278762,0.8617071509361267
paper8,401,116.08,0.4414768263943441,0.17938630999213218,0.23723487824037703,0.061491476154650025,0.8587808609008789
paper9,373,104.39,0.4297277409860191,0.2004421518054532,0.23399558498896245,0.04465874791500082,0.8375144004821777
paper10,431,114.88,0.4315169366715758,0.13716814159292037,0.1914580265095729,0.039352562037384665,0.8331401348114014
paper11,477,124.9,0.5640625,0.2394366197183099,0.25312500000000004,0.09363580447962395,0.8683398365974426
paper12,392,112.98,0.36272401433691753,0.1249102656137832,0.18351254480286738,0.026780567641900108,0.8335900902748108
paper13,334,92.75,0.3924050632911392,0.1816901408450704,0.19268635724331928,0.01796507672437492,0.8682845234870911
paper14,361,112.75,0.3997113997113997,0.13872832369942195,0.18614718614718614,0.016745367356111953,0.8579931259155273
paper15,266,77.79,0.4026340545625588,0.1413760603204524,0.18814675446848542,0.02139257837912231,0.8571028113365173
