Paper Number,Word Count,Summarization Time (sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore
paper1,411,50.17,0.39507860560492136,0.15058179329226556,0.2050580997949419,0.029955313505315516,0.8540071845054626
paper2,399,53.63,0.44763513513513514,0.17258883248730963,0.20608108108108109,0.04231428671070569,0.8610228896141052
paper3,372,50.34,0.3924592973436161,0.10128755364806867,0.181662382176521,0.018946876973646436,0.8327747583389282
paper4,270,36.7,0.37874396135265703,0.15295256534365925,0.20096618357487925,0.019284047878121484,0.8602914810180664
paper5,273,36.57,0.3614895549500454,0.1437670609645132,0.187102633969119,0.025520533526605767,0.8414874076843262
paper6,329,45.17,0.36220472440944884,0.12302839116719241,0.1700787401574803,0.015449904914706592,0.8375266194343567
paper7,286,40.3,0.3694915254237288,0.13242784380305603,0.17796610169491525,0.015024187163992961,0.8628944158554077
paper8,516,62.51,0.4763271162123386,0.2054597701149425,0.25107604017216645,0.08251413210899747,0.8505393862724304
paper9,414,52.95,0.4097073518915061,0.14867762687634023,0.2212705210563883,0.0540440115713255,0.827324628829956
paper10,545,66.07,0.49322493224932246,0.16282225237449122,0.20460704607046068,0.05877785223458152,0.8272088766098022
paper11,396,53.24,0.5129490392648287,0.2192468619246862,0.24060150375939848,0.06300359107189908,0.8655129671096802
paper12,406,49.73,0.37357954545454547,0.1266002844950213,0.17329545454545453,0.029425723797897402,0.8419658541679382
paper13,363,44.04,0.4110344827586207,0.17403314917127072,0.20551724137931035,0.01790907786911415,0.8631354570388794
paper14,282,41.85,0.32233307751343054,0.13528055342044581,0.19186492709132769,0.009371831220918671,0.8611862659454346
paper15,307,45.48,0.3735478105451296,0.12354521038495972,0.20017873100983022,0.03136990391822826,0.839838981628418
